Thu Jun 27 21:56:43 2024    bettertouch.prof

         423783 function calls (422998 primitive calls) in 44.675 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:642(_check_name_wrapper)
      168    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:172(append)
       97    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
        7    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      401    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       81    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       81    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\enum.py:38(_is_descriptor)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\pprint.py:1(<module>)
      401    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      238    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:249(match)
        3    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\enum.py:1398(_missing_)
        2    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\ctypes\__init__.py:446(__getattr__)
       81    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\enum.py:79(_is_private)
      147    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:160(__len__)
        1    0.000    0.000    0.000    0.000 bettertouch.py:33(ScreenControl)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\bdb.py:1(<module>)
       61    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       81    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\types.py:192(__init__)
       13    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\typing.py:719(Optional)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\_compression.py:1(<module>)
       60    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       95    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\enum.py:48(_is_dunder)
      201    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       52    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\typing.py:1216(__init__)
       30    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:396(_simple)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\ctypes\__init__.py:322(CDLL)
      100    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      201    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\threading.py:1418(__init__)
       19    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:82(opengroup)
       72    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       27    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:365(_escape)
        4    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\contextlib.py:260(contextmanager)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
       94    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      155    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      191    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
       95    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\unittest\result.py:24(TestResult)
      100    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
    17/11    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:434(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 <frozen os>:44(_get_exports_list)
      119    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       81    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\enum.py:59(_is_sunder)
       12    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:267(getuntil)
       10    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\enum.py:1388(_iter_member_by_def_)
       81    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       17    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:442(_uniq)
       30    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\signal.py:9(<lambda>)
        3    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\unittest\result.py:12(failfast)
      116    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\ctypes\__init__.py:265(_reset_cache)
        3    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\ctypes\__init__.py:509(PYFUNCTYPE)
        5    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        2    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\ctypes\__init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\__future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:668(Misc)
       13    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\typing.py:1162(__setattr__)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\pyrect\__init__.py:177(Rect)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\codeop.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\unittest\signals.py:1(<module>)
      115    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       66    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:79(groups)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\subprocess.py:749(Popen)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\ctypes\wintypes.py:143(WIN32_FIND_DATAA)
      100    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:2529(Grid)
       14    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\ctypes\__init__.py:145(_check_size)
      192    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        6    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\typing.py:1123(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\unittest\case.py:345(TestCase)
       14    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:224(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\pygetwindow\__init__.py:48(BaseWindow)
       77    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\pprint.py:106(PrettyPrinter)
       65    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\ctypes\__init__.py:114(WINFUNCTYPE)
       36    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       33    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:168(__setitem__)
      131    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       65    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       70    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        5    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\typing.py:175(_type_check)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       81    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\enum.py:236(__set_name__)
        1    0.000    0.000    0.000    0.000 {built-in method _socket.gethostname}
        1    0.000    0.000    0.000    0.000 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\serial\serialwin32.py:23(Serial)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\ctypes\wintypes.py:155(WIN32_FIND_DATAW)
        6    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\typing.py:702(<genexpr>)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
       80    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:109(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:2732(Canvas)
       14    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       65    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\collections\__init__.py:429(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\threading.py:861(__init__)
       10    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\enum.py:1378(_iter_member_by_value_)
       65    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        8    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:465(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:3599(Text)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:501(_requires_builtin_wrapper)
       28    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:568(isstring)
       28    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\functools.py:65(wraps)
       16    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1152(__init__)
       11    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\doctest.py:132(register_optionflag)
       13    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\typing.py:1110(_is_dunder)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\unittest\case.py:45(_Outcome)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\argparse.py:157(HelpFormatter)
       17    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\tkinter\constants.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\pyautogui\_pyautogui_win.py:88(INPUT)
        1    0.000    0.000    0.000    0.000 <frozen os>:779(getenv)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\functools.py:518(decorating_function)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\threading.py:1022(_set_tstate_lock)
        3    0.000    0.000    0.000    0.000 {built-in method _ctypes.LoadLibrary}
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\argparse.py:1171(_SubParsersAction)
        1    0.000    0.000    0.000    0.000 <frozen _collections_abc>:804(get)
       14    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:946(fix_flags)
        6    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\unittest\case.py:388(__init_subclass__)
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
       79    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\enum.py:1168(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\difflib.py:44(SequenceMatcher)
        2    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\typing.py:324(_remove_dups_flatten)
       12    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:297(checkgroupname)
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:985(create_module)
       56    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1569(<genexpr>)
        4    0.000    0.000    0.000    0.000 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\serial\serialutil.py:56(to_bytes)
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1177(get_filename)
       32    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:31(_combine_flags)
        1    0.000    0.000    0.000    0.000 <frozen os>:680(__getitem__)
       12    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       28    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:1997(Wm)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\threading.py:595(set)
        5    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:305(_class_escape)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\pygetwindow\_pygetwindow_win.py:32(POINT)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:389(_bytes_to_codes)
        8    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\platform.py:330(<genexpr>)
        8    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\enum.py:197(__get__)
       18    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\unittest\loader.py:63(TestLoader)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\threading.py:850(Thread)
       42    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\enum.py:925(<lambda>)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\threading.py:567(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\typing.py:258(_collect_parameters)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\platform.py:842(uname_result)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\bdb.py:17(Bdb)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\socket.py:215(socket)
       44    0.000    0.000    0.000    0.000 {built-in method _ctypes.sizeof}
       10    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\enum.py:117(_iter_bits_lsb)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\platform.py:794(_Processor)
        3    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:405(_generate_overlap_table)
       14    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       16    0.000    0.000    0.000    0.000 {built-in method sys._getframemodulename}
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\ctypes\__init__.py:442(LibraryLoader)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\subprocess.py:470(CompletedProcess)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\pygetwindow\_pygetwindow_win.py:176(Win32Window)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\lzma.py:38(LZMAFile)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\bz2.py:26(BZ2File)
       25    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:426(_get_iscased)
        1    0.000    0.000    0.000    0.000 <frozen os>:754(encodekey)
       14    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       14    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:73(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\selectors.py:80(BaseSelector)
        2    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:886(_parse_flags)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\unittest\case.py:244(_AssertRaisesContext)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\difflib.py:1666(HtmlDiff)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:3334(Menu)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\pdb.py:161(_ModuleTarget)
       16    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\enum.py:93(_is_single_bit)
        2    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\threading.py:110(RLock)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\traceback.py:377(StackSummary)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\ctypes\util.py:1(<module>)
        4    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\ctypes\__init__.py:373(_FuncPtr)
       31    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\signal.py:16(<lambda>)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\tkinter\ttk.py:1150(Treeview)
        5    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\typing.py:166(_type_convert)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:3218(Listbox)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\threading.py:403(notify_all)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\bdb.py:657(Breakpoint)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\difflib.py:724(Differ)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:4222(Spinbox)
        6    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\enum.py:811(__members__)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\threading.py:649(Barrier)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\weakref.py:367(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\tkinter\ttk.py:1478(LabeledScale)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\argparse.py:1737(ArgumentParser)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\threading.py:256(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\mouseinfo\__init__.py:295(MouseInfoWindow)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\__init__.py:255(escape)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:367(Variable)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\cmd.py:52(Cmd)
        2    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\platform.py:453(<genexpr>)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1275(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.next}
       18    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\enum.py:803(<genexpr>)
        7    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\enum.py:1663(_simple_enum)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:4118(PhotoImage)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\string.py:188(Formatter)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\traceback.py:653(TracebackException)
        8    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\platform.py:332(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\subprocess.py:126(CalledProcessError)
        3    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\signal.py:49(decorator)
       10    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        2    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\typing.py:310(_deduplicate)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\string.py:57(Template)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\unittest\main.py:57(TestProgram)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:170(EventType)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:3044(Checkbutton)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:3088(Entry)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\selectors.py:341(_PollLikeSelector)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\unittest\runner.py:30(TextTestResult)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\socket.py:664(SocketIO)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\tkinter\ttk.py:339(Style)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\pdb.py:125(_ScriptTarget)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1097(_resolve_filename)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:4424(PanedWindow)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\threading.py:244(Condition)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\shlex.py:19(shlex)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\threading.py:834(_maintain_shutdown_locks)
        2    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\functools.py:965(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\serial\serialwin32.py:471(exclusive)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\selectors.py:60(_SelectorMapping)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\doctest.py:821(DocTestFinder)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\doctest.py:2177(DocTestCase)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\traceback.py:251(FrameSummary)
        7    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\_weakrefset.py:37(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\pyautogui\_pyautogui_win.py:62(MOUSEINPUT)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\argparse.py:1357(_ActionsContainer)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\unittest\suite.py:92(TestSuite)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:2432(Pack)
